COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
2,4216.92,4058.97,4491.79,4183.59,3924.62,4323.59,4048.21,4445.13,4264.1,4016.41,4793.33,4224.1,4182.05,4427.18,1618,1595,71.403,0,0,0,0,
3,4212.82,4063.59,4495.38,4186.67,3912.31,4310.77,4051.79,4451.28,4255.38,4013.33,4793.85,4230.26,4183.08,4423.59,1618,1597,71.411,0,0,0,0,
4,4216.92,4067.69,4507.18,4182.56,3901.03,4314.87,4064.1,4462.56,4252.31,4014.87,4802.56,4235.9,4194.36,4428.72,1617,1597,71.419,0,0,0,0,
5,4210.26,4051.28,4500.51,4172.82,3898.46,4321.03,4058.46,4449.74,4242.56,4014.87,4802.05,4232.82,4192.82,4428.72,1616,1597,71.427,0,0,0,0,
6,4205.64,4052.82,4487.18,4177.44,3912.31,4321.54,4050.77,4437.95,4235.38,4007.18,4793.85,4228.72,4178.46,4422.56,1617,1595,71.434,0,0,0,0,
7,4222.56,4086.15,4496.41,4200.51,3931.28,4325.13,4057.44,4451.79,4251.28,4014.36,4799.49,4231.28,4183.08,4431.79,1615,1595,71.443,0,0,0,0,
8,4236.92,4098.46,4510.26,4206.67,3932.31,4330.77,4056.92,4454.87,4254.87,4024.1,4801.54,4234.87,4193.33,4441.54,1617,1594,71.45,0,0,0,0,
9,4229.23,4081.03,4506.15,4184.62,3928.21,4328.72,4048.72,4438.46,4241.54,4018.46,4795.9,4233.33,4185.64,4432.31,1616,1593,71.458,0,0,0,0,
10,4220,4073.85,4503.59,4172.82,3926.67,4324.62,4052.31,4441.54,4246.67,4028.21,4804.1,4232.82,4182.56,4426.15,1616,1594,71.466,0,0,0,0,
11,4217.95,4077.44,4503.08,4183.08,3915.38,4329.74,4061.54,4457.95,4255.38,4041.54,4810.26,4234.87,4188.21,4433.33,1616,1593,71.473,0,0,0,0,
12,4216.92,4076.92,4498.46,4189.23,3911.28,4335.9,4062.56,4458.97,4251.79,4029.74,4798.46,4234.36,4187.18,4430.77,1617,1593,71.481,0,0,0,0,
13,4216.92,4074.36,4499.49,4183.59,3924.1,4328.72,4055.38,4455.38,4261.54,4028.72,4798.97,4236.41,4184.1,4425.13,1617,1594,71.489,0,0,0,0,
14,4220,4074.87,4507.69,4183.08,3931.79,4316.41,4048.72,4460,4271.28,4040.51,4816.41,4245.64,4188.21,4437.44,1616,1596,71.497,0,0,0,0,
15,4226.67,4075.38,4506.15,4185.64,3920,4315.38,4050.77,4457.95,4257.95,4032.82,4815.38,4251.79,4190.77,4446.67,1616,1595,71.505,0,0,0,0,
16,4218.97,4067.18,4494.87,4177.95,3908.72,4324.1,4053.33,4445.13,4243.08,4019.49,4798.46,4236.92,4178.97,4427.69,1615,1596,71.513,0,0,0,0,
17,4200.51,4057.44,4487.69,4172.82,3920.51,4329.74,4051.28,4438.97,4243.08,4015.9,4786.15,4220,4165.13,4407.69,1616,1596,71.52,0,0,0,0,
18,4202.05,4060,4489.23,4170.26,3928.72,4327.69,4051.79,4445.64,4246.67,4020,4778.46,4223.59,4165.13,4415.9,1614,1597,71.528,0,0,0,0,
19,4212.31,4064.1,4491.28,4168.21,3911.28,4323.08,4056.41,4448.21,4251.79,4029.23,4782.56,4235.38,4171.28,4429.74,1616,1597,71.536,0,0,0,0,
20,4206.15,4062.05,4488.21,4174.87,3907.69,4323.08,4052.31,4441.54,4260.51,4031.28,4792.31,4231.79,4171.28,4425.64,1615,1595,71.544,0,0,0,0,
21,4198.46,4060.51,4486.67,4175.9,3925.13,4326.67,4045.13,4437.95,4262.56,4022.05,4787.18,4217.44,4166.15,4414.36,1616,1596,71.552,0,0,0,0,
